Date/Time,Word Count,ar,bg,cs,da,de,el,en,es,es-419,fi,fr,hu,id,it,ja,ko,nl,no,pl,pt-BR,pt-PT,ro,ru,sv,th,tr,uk,vi,zh-Hans,zh-Hant
2025.03.07-02.50.21,250,249,249,249,249,249,249,250,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249
2026.05.08-21.49.46,242,241,241,241,241,241,241,242,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241
